mean,sd,lower95,upper95,model,predictor,n
0.5867276999121125,0.03563288399191048,0.5166407501542196,0.6573292539640717,m1,food,25
-0.04232501333061221,0.005739114283579279,-0.05371627132929443,-0.031036678051460532,m1,catch,25
0.5029072261927267,0.06622181776515974,0.3749724148640526,0.6376240727290803,m2,food,25
0.4545160753774929,0.1496119129607488,0.15142358937881809,0.7584272524454686,m3a,food,25
0.031598894982284256,0.08226840460769982,-0.13481174068955884,0.19723366224093164,m3a,catch,25
0.49958961273417557,0.08969591315486354,0.3209888564062137,0.6706060753657965,m3b,food,25
0.003696056386258959,0.03057358868502056,-0.05623380954706955,0.059567735057503,m3b,catch,25
0.6229263017944618,0.01783715843683454,0.5869634243744791,0.65801521300452,m1,food,100
-0.04730049888273787,0.00267348195801394,-0.05262760537071857,-0.04199181578300536,m1,catch,100
0.4771865587346046,0.03351437495093247,0.4112564036358509,0.5419985739884745,m2,food,100
0.504796274623987,0.08560566046219605,0.3356086866631835,0.6728796026428228,m3a,food,100
-0.00977080639624867,0.02744421067794507,-0.06310943254497815,0.045247747331556426,m3a,catch,100
0.4852331100875006,0.07320705014774911,0.3351547531345945,0.624863934979996,m3b,food,100
-0.00261683164290278,0.022309958523752567,-0.04539889396322396,0.043207712114634936,m3b,catch,100
0.6134702086153772,0.004991202977149364,0.6035841557592997,0.6231447479284897,m1,food,1000
-0.045160538717241835,7.261255298349024e-4,-0.04658416051626365,-0.04373342244266556,m1,catch,1000
0.4974304709113601,0.01012660884192326,0.47812607133669915,0.5177590553479368,m2,food,1000
0.5100264485040125,0.022090265008732058,0.4661500688025503,0.5526018000477467,m3a,food,1000
-0.004919442259668717,0.007747697200722456,-0.019888061199763916,0.010373948649919452,m3a,catch,1000
0.5130814564348999,0.02259778824602181,0.4688764153095149,0.5576837320670027,m3b,food,1000
-0.006046526705517709,0.00795456325753496,-0.02153785949025448,0.009394924521083063,m3b,catch,1000
